e1	e2	g1	g2	score	e1-tag	e2-tag
game	match	Spiel	Wettkampf	33	n	n
grass	weed	Gras	Unkraut	38	n	n
art	craft	Kunst	Handwerk	34	n	n
punk	rock	Punk	Rock	30	n	n
fungus	mushroom	Pilz	Champignon	46	n	n
blonde	redhead	Blondine	Rothaarige	41	n	v
landscape	scenery	Landschaft	Kulisse	38	n	n
crochet	stitch	häkeln	mähen	34	j	j
paint	painting	Farbe	Malerei	42	v	n
cat	kitty	Katze	Kätzchen	46	n	n
kitten	kitty	Kätzchen	Kätzchen	45	n	n
fabric	wool	Stoff	Wolle	43	j	n
skate	skating	Skaten	Schlittschuhlaufen	45	n	n
sit	stand	Sitzen	Stehen	35	n	n
chapel	ruin	Kapelle	Ruine	28	n	n
pink	red	rosa	rot	31	n	v
bead	necklace	Perle	Halskette	34	n	n
child	kid	Kind	Kind	46	n	n
band	rock	Band	Rock	36	n	n
pink	purple	rosa	lila	38	n	n
holiday	vacation	Urlaub	Ferien	42	n	v
fog	mist	Nebel	Dunst	37	n	n
game	play	Spiel	Spaß	32	v	v
chipmunk	squirrel	Streifenhörnchen	Eichhörnchen	44	n	n
brown	pink	braun	rosa	29	n	n
dessert	salad	Nachspeise	Salat	31	n	n
van	vehicle	Transporter	Fahrzeug	40	n	n
shop	store	Shop	Lager	39	n	n
dog	husky	Hund	Husky	37	j	n
cemetery	graveyard	Friedhof	Gräberfeld	47	n	n
blue	purple	blau	lila	36	n	n
cross	tower	Kreuz	Turm	18	n	n
dessert	strawberry	Dessert	Erdbeere	34	n	n
skyline	skyscraper	Skyline	Wolkenkratzer	36	n	v
chocolate	dessert	Schokolade	Dessert	43	n	n
hang	stand	hängen	stehen	25	j	n
fall	love	Herbst	Liebe	23	n	n
ruin	tower	Ruine	Turm	18	n	n
musician	rock	Musiker	Rock	41	n	j
bunny	rabbit	Hase	Kaninchen	46	n	j
chipmunk	wolf	Streifenhörnchen	Wolf	21	j	j
city	skyline	Stadt	Skyline	36	n	n
orange	red	orange	rot	40	j	j
black	pink	schwarz	rosa	33	n	n
blue	red	blau	rot	36	n	j
construction	demolition	Bau-	Abbrucharbeiten	33	n	n
hang	tear	hängen	reißen	11	v	v
bright	pink	hell	rosa	29	n	n
cafe	diner	Cafe	Diner	40	n	n
automobile	car	Automobil	Auto	50	n	n
dessert	sweet	Dessert	Süßes	37	n	n
bloom	blossom	blühen	gedeihen	43	n	n
music	rock	Musik	Rock	37	n	n
belly	field	Bauch	Feld	7	n	n
dessert	eat	Dessert	essen	35	j	n
jean	skirt	Jeans	Rock	36	v	j
red	white	rot	weiß	31	n	n
bloom	flower	blühen	blühen	43	j	n
lily	rose	Lilie	Rose	40	j	n
diner	eat	diner	essen	42	n	n
breakfast	diner	Frühstück	Abendessen	33	n	v
hand	palm	Hand	Handfläche	44	n	n
canine	poodle	Hund	Pudel	41	n	n
city	town	Stadt	Ort	39	n	n
building	construction	Gebäude	Konstruktion	40	n	n
burn	reading	brennen	lesen	10	n	n
guy	sleep	Kerl	Schlaf	25	n	v
makeup	square	Make-up	Quadrat	7	n	n
dawn	snow	Dämmerung	Schnee	18	n	n
mill	windmill	Mühle	Windmühle	37	n	n
coast	scenery	Küste	Landschaft	29	n	j
ice	skating	Eis	Schlittschuhlaufen	37	n	n
curl	leaf	kräuseln	blättern	17	n	n
jacket	sock	Jacke	Socke	36	n	j
canine	husky	Hund	Schlittenhund	42	n	n
ancient	city	Antike	Stadt	29	n	n
drop	hang	Ablegen	Aufhängen	24	n	n
airplane	plane	Flugzeug	Flugzeug	42	n	n
brown	white	braun	weiß	32	j	j
vine	wine	Rebe	Wein	31	n	n
bright	dark	hell	dunkel	33	n	j
pink	violet	rosa	violett	35	n	v
pink	shade	rosa	schattig	14	n	n
town	village	Stadt	Dorf	43	n	n
fabric	handle	Stoff	Griff	16	v	n
grey	violet	grau	violett	33	j	v
canyon	valley	Schlucht	Tal	36	n	n
heart	wing	Herz	Flügel	20	n	n
beach	sea	Strand	Meer	44	n	n
feline	pet	Katze	Haustier	36	n	v
bay	curve	Bucht	Kurve	16	n	n
cliff	scenery	Klippe	Landschaft	27	j	n
band	metal	Band	Metall	27	n	n
dessert	diner	Nachspeise	Diner	34	n	v
grape	vine	Weintraube	Weinstock	44	j	j
jean	shirt	Jeans	Hemd	31	n	v
ford	river	Furt	Fluss	27	n	v
fountain	hill	Springbrunnen	Hügel	20	n	n
bright	orange	hell	orange	31	j	n
harbor	ship	Hafen	Schiff	39	n	j
twig	underground	Zweig	Untergrund	12	n	v
shadow	sunlight	Schatten	Sonnenlicht	41	j	n
apartment	child	Wohnung	Kind	15	n	n
feather	peacock	Feder	Pfau	43	n	n
dress	skirt	Kleid	Rock	44	n	n
blue	dark	blau	dunkel	23	j	n
petal	pink	Blütenblatt	rosa	28	n	n
black	paint	schwarz	Farbe	26	n	n
ford	valley	Furt	Tal	14	n	v
blossom	cherry	Blüte	Kirsche	37	n	n
feel	friend	fühlen	Freund	18	n	n
railway	underground	Eisenbahn	U-Bahn	33	n	n
iron	splash	Eisen	Spritzwasser	8	n	n
light	sleep	Licht	Schlaf	22	n	n
female	old	weiblich	alt	21	n	n
blossom	flower	Blüte	Blume	42	n	n
berry	blossom	Beere	Blüte	32	n	n
guitar	play	Gitarre	spielen	33	n	n
purple	yellow	lila	gelb	34	n	n
canine	pug	Hund	Mops	38	n	j
gull	mallard	Möwe	Stockente	36	n	n
downtown	skyline	Stadtzentrum	Skyline	35	n	n
amphibian	frog	Amphibien	Frösche	42	n	n
motorcycle	scooter	Motorrad	Motorroller	45	n	n
blossom	orange	Blüte	Orange	34	n	j
red	violet	rot	violett	42	n	n
band	punk	Band	Punk	34	n	n
harbor	harbour	hafen	hafen	40	n	n
blossom	fruit	Blüte	Frucht	34	n	n
burger	dessert	Burger	Nachspeise	23	n	j
bath	hot	Bad	heiß	33	n	j
smile	view	Lächeln	Blick	15	n	n
bright	yellow	hell	gelb	30	v	j
grey	orange	grau	orange	32	n	n
fall	stand	fallen	stehen	21	n	n
decoration	interior	Dekoration	Interieur	36	j	n
decoration	lighting	Dekoration	Beleuchtung	32	n	n
concert	rock	Konzert	Rock	37	n	n
couple	race	Paar	Rasse	17	n	j
puddle	splash	Pfütze	Spritzer	42	n	n
stair	staircase	Treppe	Treppenhaus	49	n	n
church	cookie	Kirche	Keks	18	n	n
eat	web	Essen	Bahn	9	n	n
curl	whisker	Locken	Schnurrhaare	21	v	n
sock	stocking	Socke	Strumpf	41	n	n
lip	run	Lippe	Lauf	9	n	n
play	spiral	Spiel	Spirale	17	n	n
gymnastics	port	Gymnastik	Hafen	13	n	n
apartment	patio	Wohnung	Innenhof	27	n	n
daisy	flood	Gänseblümchen	Hochwasser	11	n	n
dude	guy	Kumpel	Kerl	37	n	n
poppy	store	Mohn	Speicher	9	n	n
mural	paint	Wandmalerei	Farbe	38	n	n
crystal	spiral	Kristall	Spirale	21	j	v
cattle	farm	Rinder	Bauernhof	38	n	n
feel	time	Gefühl	Zeit	10	n	n
blue	grey	blau	grau	39	n	n
colour	shade	Farbe	Farbton	35	n	v
day	sunny	Tag	sonnig	32	n	n
reptile	snake	Reptil	Schlange	45	j	n
butterfly	glitter	Schmetterling	Glitzer	19	n	v
lake	valley	See	Tal	30	n	n
outfit	sign	Outfit	Zeichen	15	n	n
gull	pelican	Möwe	Pelikan	35	n	n
color	shade	Farbe	Farbton	28	n	n
shop	summer	Geschäft	Sommer	19	n	n
duck	mallard	Ente	Stockente	41	j	n
orange	peel	Orange	Schale	43	n	j
